utterance_id,audio_path,language,speaker_id,gender,transcription,duration_sec,noise_level_db,collection_source,quality_flag,lang_warning
utt_0001,s3://india-speaks/raw/bn/utt_0001.wav,hi,7a7a657a,Other,naam hai kaise,4.16,43.35,studio,-1,Detected:nl
utt_0002,s3://india-speaks/raw/ml/utt_0002.wav,kn,6193b089,F,mera hu se se,4.5,56.63,crowdsourced,1,Detected:hu
utt_0003,s3://india-speaks/raw/pa/utt_0003.wav,pa,7e108484,F,hu se hai dilli hai naam,4.22,38.11,studio,1,Detected:it
utt_0004,s3://india-speaks/raw/ml/utt_0004.wav,ml,db8db256,Other,aaya kaise aaya,1.71,29.97,call-center,0,Detected:en
utt_0005,s3://india-speaks/raw/pa/utt_0005.wav,kn,6f4412bf,Other,namaste se namaste naam ho,4.98,42.92,call-center,0,Detected:nl
utt_0006,s3://india-speaks/raw/kn/utt_0006.wav,hi,41f6a578,F,naam hai kaise,1.35,42.22,crowdsourced,-1,Detected:nl
utt_0007,s3://india-speaks/raw/gu/utt_0007.wav,ur,c86f84d5,Other,hai naam hai namaste kaise se aaya hai kaise,1.4,29.84,call-center,1,Detected:it
utt_0008,s3://india-speaks/raw/pa/utt_0008.wav,gu,8521162c,M,ho kaise swagat,4.97,53.73,studio,-1,Detected:de
utt_0009,s3://india-speaks/raw/mr/utt_0009.wav,pa,8341d7f7,F,naam se aaya aapka,1.88,51.19,call-center,-1,Detected:nl
utt_0010,s3://india-speaks/raw/hi/utt_0010.wav,hi,74b75b9a,Other,ho dilli ho hai se namaste kaise ho,3.58,34.34,studio,1,Detected:it
utt_0011,s3://india-speaks/raw/ur/utt_0011.wav,bn,ef3e07d9,Other,kaise aaya se aapka kaise kaise kaise namaste,1.42,31.98,studio,1,Detected:fi
utt_0012,s3://india-speaks/raw/ur/utt_0012.wav,gu,1a5e622c,Other,namaste mera se aaya ho,0.8,47.11,crowdsourced,0,Detected:it
utt_0013,s3://india-speaks/raw/pa/utt_0013.wav,bn,d6104a81,M,hai swagat namaste swagat mera hai,4.32,51.48,studio,0,Detected:it
utt_0014,s3://india-speaks/raw/ml/utt_0014.wav,te,533b2aeb,F,aaya naam kaise hai kaise aapka aaya aaya,1.1,47.07,call-center,1,Detected:en
utt_0015,s3://india-speaks/raw/bn/utt_0015.wav,pa,8ac799cc,M,hai dilli mera,1.64,49.48,crowdsourced,0,Detected:it
utt_0016,s3://india-speaks/raw/ml/utt_0016.wav,bn,dc2488e1,Other,dilli hu kaise dilli swagat swagat hu kaise namaste namaste,3.6,49.46,call-center,0,Detected:hu
utt_0017,s3://india-speaks/raw/ta/utt_0017.wav,bn,00ed11e9,M,ho hai aaya kaise hu swagat hai,3.43,23.6,crowdsourced,1,Detected:it
utt_0018,s3://india-speaks/raw/ta/utt_0018.wav,te,1a9ec9d1,M,dilli kaise naam swagat namaste se aaya,1.36,23.02,studio,-1,Detected:nl
utt_0020,s3://india-speaks/raw/ur/utt_0020.wav,ml,aad7f1b9,F,hai aaya kaise swagat ho kaise kaise swagat mera,1.6,47.34,call-center,-1,Detected:fi
utt_0021,s3://india-speaks/raw/ur/utt_0021.wav,te,1dd31cd7,Other,aaya namaste aapka hu se swagat kaise kaise naam,2.09,33.89,crowdsourced,1,Detected:fi
utt_0022,s3://india-speaks/raw/bn/utt_0022.wav,te,0b08945e,M,aaya dilli naam aaya hai aapka,2.81,43.41,studio,0,Detected:en
utt_0023,s3://india-speaks/raw/bn/utt_0023.wav,pa,a6620af6,F,aaya aaya hu aaya swagat aapka mera,2.07,51.01,crowdsourced,-1,Detected:en
utt_0024,s3://india-speaks/raw/ur/utt_0024.wav,en,65813860,M,swagat ho aaya dilli,4.92,47.51,call-center,1,Detected:it
utt_0025,s3://india-speaks/raw/bn/utt_0025.wav,te,85ebf8f8,M,swagat dilli mera mera hu mera naam hai se hai,3.43,54.39,studio,-1,Detected:it
